Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,12,30,832,78,492,13.700000000000000,20,1022,69,192,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,13,30,793,80,444,13.5,20,1022,69,193,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,14,30,732,72,346,13.600000000000000,20,1022,69,194,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,15,30,601,59,207,13.9,20,1022,69,195,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,16,30,300,31,58,14.200000000000000,20,1023,69,197,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,17,30,0,0,0,13.8,20,1024,69,194,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,18,30,0,0,0,13.8,20,1024,69,188,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,19,30,0,0,0,13.8,20,1025,69,183,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,20,30,0,0,0,13.9,20,1025,69,180,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,21,30,0,0,0,13.9,20,1025,69,178,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,22,30,0,0,0,13.9,20,1025,69,177,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,23,30,0,0,0,13.8,20,1025,69,174,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,0,30,0,0,0,13.600000000000000,20,1025,69,169,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,1,30,0,0,0,13.5,20,1025,69,166,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,2,30,0,0,0,13.5,20,1025,69,163,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,3,30,0,0,0,13.4,20,1025,69,162,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,4,30,0,0,0,13.4,20,1025,69,165,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,5,30,0,0,0,13.5,20,1025,69,168,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,6,30,0,0,0,13.5,20,1026,69,170,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,7,30,90,10,11,13.5,20,1026,69,171,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,8,30,545,43,141,14.200000000000000,20,1027,69,171,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,9,30,708,59,288,14.8,20,1027,69,175,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
